keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Shavkat Rakhmonov',de,unknown,#111111,#111111,1,0.432816390381
'Francis Ngannou',de,unknown,#111111,#111111,1,0.432808880955
'Kamel Daoud',de,unknown,#111111,#111111,1,0.432775002336
'Ian Machado Garry',de,unknown,#111111,#111111,1,0.432344346814
'Prinz William',de,UK,#e838e8,#e838e8,3,0.432309059587
'Bruna Caroline Ferreira',de,unknown,#111111,#111111,2,0.432271642205
'Margaret Brennan',de,unknown,#111111,#111111,1,0.432266505047
'Nanon Williams',de,unknown,#111111,#111111,1,0.432214722713
'Kamaru Usman',de,unknown,#111111,#111111,1,0.432133687336
'Jen Psaki',de,unknown,#111111,#111111,1,0.431882144111
'Joe Rogan',de,unknown,#111111,#111111,1,0.431811921347
'James Gunn',de,USA,#18e8e8,#18e8e8,1,0.431803471136
'prince Andrew',de,unknown,#111111,#111111,1,0.431693151211
'Romy Reiner',de,unknown,#111111,#111111,2,0.431403566427
'Dan Hooker',de,unknown,#111111,#111111,1,0.431384882554
'Cruz Beckham',de,Spanien,#1144aa,#1144aa,1,0.431108352295
'Harry Met Sally',de,unknown,#111111,#111111,1,0.431073117451
'Lil Yachty',de,USA,#18e8e8,#18e8e8,1,0.430959376672
'Paddy Pimblett',de,unknown,#111111,#111111,1,0.430733600736
'JULIEN MUGUET',de,Frankreich,#e8e808,#e8e808,1,0.430594199863
'Ilia Topuria',de,unknown,#111111,#111111,1,0.430549846213
'König Charles III',de,UK,#e838e8,#e838e8,3,0.430524399241
'MARGARET BRENNAN',de,unknown,#111111,#111111,1,0.430387282051
'Anant Ambani',de,Indien,#dd3344,#dd3344,1,0.430371334933
'Karol G',de,Kolumbien,#3355dd,#3355dd,1,0.430327011290
'Lecornu II ',de,Frankreich,#e8e808,#e8e808,1,0.429980404145
'Caren Miosga',de,Deutschland,#11dd44,#11dd44,3,0.429715519944
'Scott Jennings',de,unknown,#111111,#111111,1,0.429518432969
'Michele Singer Reiner',de,unknown,#111111,#111111,2,0.429285768117
'reine Mathilde',de,unknown,#111111,#111111,1,0.429258671995
'Joy Reid',de,unknown,#111111,#111111,1,0.429067110203
'Johann Wadephul',de,Deutschland,#11dd44,#11dd44,3,0.428890218339
'Arman Tsarukyan',de,unknown,#111111,#111111,1,0.428776307831
'Lyna Khoudri',de,Algerien,#22cc99,#22cc99,1,0.428765424897
'Andrew Cuomo',de,USA,#18e8e8,#18e8e8,2,0.428656663591
'Lady Gaga',de,USA,#18e8e8,#18e8e8,3,0.428387283607
'Marco Rubio',de,USA,#18e8e8,#18e8e8,3,0.428330776023
'Daniel Cormier',de,unknown,#111111,#111111,1,0.428291590795
